Reviews,Ratings,Orig_Reviews,no_of_characters,no_of_words,avd_Word_Length,Polarity,Subjectivity
horrible noise come washing spinning return backhowever samsung customer care convince complaint horrible noise reject request return product thereafter raise issue amazon understand grievance send technician technician check machine thoroughly come conclusion manufacturing defect due annoying noise come next day amazon arrange pickup product hour pickup money transfer bank account much impressed world class customer grievance redressal systemthank alot amazon team happy great service,1,"Horrible noise coming while washing or spinning. Returned back.However, Samsung customer care was not convinced by my complaint of horrible noise and rejected my request to return the product. Thereafter, i raised my issue with Amazon and they have understood my grievance and sent their own technician. The technician have checked the machine thoroughly and come to conclusion that it was some manufacturing defect due to which annoying noise was coming. And next day amazon arranged for pickup of the product and after 2- 3 hours of pickup money was transferred to my bank account. I am very much impressed by such a world class customer grievance redressal system.Thanks alot Amazon Team. Happy to have such great services.",712,116,5.129310344827586,-0.06944444444444439,0.6916666666666667
make life easierwrite review month use wash everything sock curtain sofa coversrug bedsheet everything come clean dry put clothe fill liquid detergent complete housework clothe getting wash automatically soak option also minute cycle clothe soak wash rinse dry make life comfortable even electricity go do not matter start point stop sometimes happens start machineand come room find pair sock forget putno problemi switch machine open lid put sock inside switch main switch reprogramme require thing sometimes lint clothe get deposited woollen jacket well wash woollen clothe separately daily wear dust easily cloth brush dry important machine self clean purchase long drain pipe separately drain pipe small drain water spill directly near drain hole bathroom remain dry clean save time hand foot soft do not need put soap water everyday washing clothe one month foot become soft pink,5,"It's made my life easier.Writing this review after 1 month of use.1. Can wash everything from socks to curtains and sofa covers,rugs, bedsheets and everything comes out clean and dry.2. Just put the clothes, fill liquid detergent and I complete all my housework while clothes are getting washed automatically.3. There is soaking option also so in 75 minutes cycle all my clothes are soaked, washed, rinsed and dried. Makes life comfortable.4. Even if electricity goes it doesn't matter as it starts from the same point when it was stopped.5. Sometimes it happens I started the machineand come to my room and found a pair of socks that I  forget to put..no problem..I just switch off the machine, open the lid and and put the socks inside and switch on the main switch again. No reprogramming required.6. Only 1 thing sometimes the lint of other clothes gets deposited on woollens or jackets. So it's better to wash woollen clothes separately from daily wear. But it can be dusted off easily with a cloth brush after drying.7. And most important the machine self cleans itself.8. I purchased a long drain pipe separately as the drain pipe was too small. Now drain water is spilled out directly near the drain hole and my bathroom remains dry and clean.9. Saves time, your hands and feet are soft as you don't need to put them in soap and water everyday for washing clothes. In one month my feet have become soft and pink.",1366,245,4.563265306122449,0.09682539682539684,0.5317460317460317
would like share experience one onedelivery experience fast max day mumbai location installation within hrs delivery hrs covid timedelivery facility ship rd floor without lift extra pay doorpackege good packege extra tharmocol side safety avoide unnecessary dent keep machine safe shipment especially amazon build quality superior quality nice color specially drum upper glass give premium lookautomatic function wash cloth within minutesautomatic water supplyno error system program functionideal person familyavailable mode see picture detailnormal modequick washdelicatessoaknormalenergy savingeco tube cleanalso mansoon function availabledaimand cylindrical drum help keep clean cloth easy drynow come question hook kitchen sinkyes easy read work control panelye could use bathroom sink wellyes leakno leak simply ensure hose securely connect loudno loud disturb neighbor spin wellye spin exceptionally well well could simply hang clothe hanger dryovernight dryer washer drain drain hose include yes drain hose include long white plastic hose connect bottom leave face washer hose run sink long enough kitchen counter long take full load laundrystart finish minute full large load approx minute quick small load electrical outlet needstandard home threepronge ok available everyone home need setup extra yhing wash sheet blanketsdefinitely use liquid detergentye use powder detergentyes use fabric softeneryes canoverall experience buy especially due good seller product perfect member family weight lightwright look premium compare othersad per opinion brand trust important high range valuble thing whenever require service near location well part availability service really important factora per view samsung capability make trust long year service compare other well personally really love service treat customer,5,"I would like to share my experience one by one.DELIVERY EXPERIENCE - Too Fast ( Max 2 Days for Mumbai location )INSTALLATION - Within 6 Hrs after delivery ( In 6 Hrs during Covid Time)DELIVERY FACILITY - Shipped in 3rd Floor without having lift ( No extra pay) At your doorPACKEGING - Good Packeging with extra tharmocol from all side for safety. So its avoide unnecessary denting. Keep your machine safe during shipment. ( especially in Amazon )BUILD QUALITY - Superior Quality with having nice color Specially Drum & upper glass giving premium look.AUTOMATIC FUNCTION -Wash the cloth within 40 Minutes.Automatic Water SupplyNo error in System Program or function.Ideal for 4 to 5 person family.AVAILABLE MODE ( see pictures for detail)Normal ModeQuick washDelicatesSoak+NormalEnergy savingEco tube cleanAlso Mansoon function availableDaimand cylindrical drum help to keep clean your cloth and easy to dry.Now comes to the questions1) Does it hook up to kitchen sink?YES it does2) Is it easy to read and work the control panel?YES it is.3) Could you use it at your bathroom sink as well?YES you can.4) Does it leak?NO it does not leak - simply ensure your hoses are securely connected.5) Is it loud?NO it is not loud at all and will NOT disturb your neighbors.6) Does is spin well?YES it spins exceptionally well, so well you could simply hang your clothes on hangers to dryovernight if you do not have a dryer!7) How does the washer drain and is there a drain hose included? YES there is a drain hose included. This is a long white plastic hose connected to the bottom left when facing the washer - this hose runs up and over and into the sink, it is more than long enough for a kitchen counter8) How long does it take to do a full load of laundry?Start to finish is 44 minutes for a full large load and approx.14 to 25 minutes for the quick smaller loads.9) What electrical outlet do I need?standard home three-pronged is ok as its available in everyone home. ( No need to setup extra yhings)10) Can I wash sheets and blankets?Definitely.11) Can I use liquid detergent?YES you can.12) Can I use powdered detergent?YES you can.13) Can I use fabric softener?Yes you can.OVERALL EXPERIENCE -I Bought especially due to best seller product. Having perfect to my 4 member family. Weight is lightwright. Looking premium as compare to any others.Ad per my opinion The brand trust is most important in such high range valuble things because whenever you required service it should be NEAR TO YOUR LOCATION as well as the parts availability and the service should be really important factor.As per my view SAMSUNG have the capability to make trust from a long years with there service as compare to others as well as personally I really love there services as they treat with there customers.",2673,453,4.852097130242826,0.2295181405895692,0.5606179138321996
medium could load washing machine got deliver th dec use first time th dec produce enormous noise like machine gun wash normal spin clearly show receive defective product really disappoint technician come demo do not check washing spin condition visit call ask raise complaint product know good model brand receive defective one demand replacement check video customer I m disappoint happy product delivery really perfect neat even rainy day get defective product need replace immediately need amazon prioritise replace product early,5,"The media could not be loaded.
                



 Washing machine got delivered on 4th dec'20 and using it for the first time on 9th dec'20 and it produce enormous noise like a machine gun during washing but it's normal during spin. It's clearly shows I have received defective product. I am really disappointed with technician who came for demo because he didn't checked washing and spin condition during his visit. But now when I called him he asks to raise a complaint on the product. I know this is a good model and brand and I have received defective one and I demand 100% replacement. Check the video as a customer I'm very disappointed and not happy with the product. Delivery was really perfect and neat even during rainy days but got the defective product which need to be replaced immediately. Need Amazon to prioritise and replace this product at the earliest.",842,149,4.550335570469799,0.3,0.5566666666666668
medium could load defective product recievedthe technician came check tell inner drum brokenso rapid vibration thereboth samsung amazon deny return product firsti must say bad ever customer service samsungthe technician come install product declare defectivedamage product amd leave without provide jobsheet service denial reason number repeatedly call samsung deny provide jobsheet service denial request number proofand amazon keep deny return due lack jobsheet finally much explanation hassle amazon decide return provide refund time refund less amount kickoff festival season sale prime member suppose get rs instant bank discount rs amazon pay cashback rs cashback cloudtail peoduct understand return product deduct bank diacount cashback seller should not deduct cashback rs alsobecause get rs cashback result order item ar time total cart value provide cashback proportionate actual price washing machine prime member regular customer feel disappointed service amazon,2,"The media could not be loaded.
                



 Defective product recieved..the technician came and checked and told that the inner drum was broken...so rapid vibrations were there...both samsung and amazon denied to return the product at first...I must say worst ever customer service by Samsung...the technician came to install the product and declared it as a defective/damaged product amd left without providing any jobsheet or service denial reason or number. I repeatedly called samsung but they denied to provide jobsheet and service denial request number as proof...and amazon kept on denying the return due to lack of jobsheet. So finally after so much of explanation and hassle, amazon decided to return and provide refund. But, this time they refunded a lesser amount. During kick-off of festival season sale for prime members, we were supposed to get 1750 rs instant bank discount, 1250 rs amazon pay cashback and 750 rs cashback by Cloudtail for this peoduct. I can understand during returning this product, they can deduct the bank diacount and cashback by seller but they shouldn't deduct the cashback of 1250 rs also....because I got the 1250 rs cashback as a result of ordering 3 items ar a time with total cart value of 30000. I should have been provided a cashback of proportionate to 13490 (actual price of this washing machine). Being a prime member and a regular customer, I feel disappointed with the service by amazon",1369,227,4.933920704845815,-0.15416666666666665,0.38185897435897437
overall product average recommend well check purchase local shopi use samsung kg diamond drum model last year without issue hence order compare machine low quality drum size almost half size seem kg model panel button poor quality difference water level fill water full warranty card manual photo copy doubt genuinity think duplicate production,1,"Overall product is average not recommended.. better to check and purchase from local shop.I am using Samsung 6.2 kg Diamond Drum model from last 10 year without any issue hence ordered same. Compare to that this machine is low in quality, Drum size almost half size seems 5kg model, panel button poor quality .. no difference in water level from 1 to 4, it fills water up to full. Warranty card and manual are photo copy.. I doubt about the genuinity.. I think it is duplicate production.",465,82,4.621951219512195,-0.04583333333333334,0.26041666666666663
bad service provide samsung one care installation warranty accept do not go samsung many super quality brand wait installation past day call follow up pandemic reason behind delay bad management follow up,1,Worst service provided by Samsung... No one caring for installation... No warranty accepted. Don't go for Samsung.. as we have many other super quality brands.... I have been waiting for installation from past 45 days... No calls. No follow ups... This pandemic is not the reason behind delay... It's all about worst management... And follow ups...,315,55,4.7272727272727275,-0.20277777777777772,0.575
installation charge machine take min one wash depend type select buy rs cashback discount consider price feel like gr deal overall happy purchase clean garmentstypically g jeansg shirt one wash easily ideal pplsome con machine take little amount water detergent semi automatic require clean tub wash although packaging box machine protect foamthermocol sheet sidesmachine good condition deliver without dentswould suggest u look u accept delivery,1,"* No installation charges* machine takes 25-35 mins for one wash depending type selected.* bought it for Rs 11500/- after cashback and discounts, so considering the price feel like gr8 deal* Overall very happy with the purchase* Can clean 8-10 garments(typically 700g jeans/300g shirt) in one wash easily so ideal for 3-4 ppl.Some cons : * Machine takes a little more amount of water and detergent  than semi automatic . * Require cleaning of tub after 8-10 washes* Although the packaging box for the machine is not protected by any foam/thermocol sheet on the sides,Machine was in good condition ..delivered without any dents.(would suggest u have a look before u accept delivery)",628,102,5.0588235294117645,0.4208333333333334,0.6428571428571429
product detail amazon clearly write product carry year comprehensive warranty motor carry year warranty confirm customer care call however purchase contact samsung make clear offer year warranty motor case otherwise claim seller responsible beware contradiction purchase,4,"In the products details, Amazon has clearly written that the products carries 2 years comprehensive warranty while the motor carries 10 years warranty. The same was confirmed by their customer care in a call. However after purchase, when we contacted samsung , they made it clear that they offer only 2 years warranty on motor, and in case of any otherwise claim, only seller is responsible. So beware of this contradiction before purchase.",427,69,5.144927536231884,0.13333333333333333,0.4388888888888889
first machine damage return amazon take time replace another one installation turnaround time bad second machine also start give trouble within day follow samsung repair machine replace bad experience first time washing machine purchase amazon,3,The first machine was damaged had to return it. Amazon took its own time to replace it with another one and the installation turnaround time was very bad. The second machine also started giving trouble within 10 days and I am now following up with Samsung to repair the machine or replace it again. Bad experience on my first time washing machine purchase from Amazon.,362,64,4.65625,-0.18333333333333326,0.3666666666666667
toploade washing machine really easy use buy mother use semiautomatic wm find able adapt use ease take little water compare frontloade machine almost maybe less semiautomatic wmthe overall washing perfomance greati order machine pm got deliver next morning durgapur wb book free installation call samsung customer care engineer visit day machine ready use soon purchase stand keep machine really happy extremely prompt service amazon samsung customer supportthis great machine blindly go,5,"This top-loading washing machine is really easy to use. I bought it for my mother, who is used to a semi-automatic WM. I found that she is able to adapt and use it with ease.  It takes a little more water compared to front-loading machines, but almost the same or maybe less than semi-automatic WM.The overall washing perfomance is great.I ordered the machine at 4PM, it got delivered the next morning at 8AM, at Durgapur (WB), I booked the free installation by calling the Samsung customer care. The engineer visited at 11AM, same day, and the machine was ready to use soon. I purchased a stand to keep the machine. I am really happy with the extremely prompt service of Amazon and Samsung customer support.This is a great machine, blindly go for it.",723,133,4.43609022556391,0.1795138888888889,0.5618055555555556
get month may initially skeptical really nice monsoon option afeature really help clothe get almost dry helpful facility extendedable pipe atleast cm great could deattach reattach whenevr necessary service installation well good offer we cover really good stand little costly stand worth movable adjustable give machine clean well clean entire machine keep good condition u compare front load do not give much sound really good al affordable options washing machine,5,We got this in the month of May '2021 initially I was skeptical about it but it is really nice the monsoon option is a.feature which really helps the clothes get almost dried which very helpful they had this facility extendedable pipe for atleast 10cm which was great as we could deattach and reattach whenevr it is necessary. Service installation as well is good he offered us a cover and a really good stand it was little costly but the stand was worth which is movable and adjustable. He gave the machine cleaner as well to clean the entire machine and keep it in good condition. When u compare with front load this doesn't give my much sound which is really good. Over Al it was an affordable and more options washing machine.,716,132,4.424242424242424,0.3174479166666667,0.5921875
instal machine start finish engineer come give second demo ask go slow explain one function charge installation lol ludicrous service well never buy anything samsung,1,"I installed the machine myself from start to finish , the engineer came,  gave a 50 second demo and when I asked him to go slow and explain one  of the functions I was charged for installation lol ludicrous service at its best 😂 Never buying anything from samsung again.",264,47,4.531914893617022,0.16666666666666666,0.36666666666666664
old washing machine samsung still work fine despite year usage one value money easy operate nothing much change operation interface several yearsone thing notice appear there s way clear previous memory case need hit cycle button previous option clear still present despite press power button previously point come habit previous model usage would clear memory press power buttonmonsoon min spin cycle option still present useful though great nothing exceptional value money suitable small family relatively tight budget,4,"My old washing Machine was Samsung too which still works fine despite more than 12 years of usage. This one is Value for Money. Easy to operate, nothing much has changed in the operations or interface in several years!One thing I notice is that it appears that there’s no way to clear the previous memory, just in case. All you need to do is hit Cycle button and previous options are cleared, if they are still present despite you pressed Power Button previously. This point comes up only has a habit from my previous model usage, which would clear the memory after pressing Power Button.Monsoon 15 or 30 mIn spin cycle options is still present and useful, though not that great. Nothing exceptional, but Value for money and suitable for small family on relatively tight budget.",757,133,4.676691729323308,0.13357142857142862,0.33678571428571424
first product receive damage easily recognisable dent front side box look absolutely fine second replacement product receive minor dent front side visible naked eye see side angle scratch leave side bottom gifted machine mother tired replace good buy electronic item croma amazing experience till would think time order amazon atleast big electronic appliance really do not know reach whether amazon retailer dealer samsung,2,"First product received was damaged had easily recognisable dent on the front side, while the box looked absolutely fine, the second replacement product received had a minor dent again on front side not visible by naked eyes until you see from side angle and scratch on left side at the bottom. I gifted this machine to my mother, but now we tired of having it replaced again and again, it is good to buy electronic items from Croma, we have had amazing experience till now. We would think more than 100 times now before ordering from Amazon atleast big electronic appliances. I really don't know who to reach out whether Amazon, Retailer / Dealer or Samsung?",643,114,4.631578947368421,0.19583333333333333,0.48055555555555557
medium could load work I m try return product option available,2,"The media could not be loaded.
                



 It's not working.. I'm trying to return the product options are not available..",118,19,4.473684210526316,0.4,0.4
dear teamneed support discuss early speak samsung team executive visit time resolution far please replace washing machine end samsung team take approx one half month reply back deny replace product provide correct communication detail,1,"Dear Team,Needs your support here, as discussed earlier i spoke with Samsung team and there executive visited 5 times but no resolution so far. so please now replace my washing machine from your end. because samsung team has took approx one and half month for replying back. and they  denying to replace this product. an provide your correct communication details.",356,59,5.016949152542373,0.008333333333333338,0.3666666666666667
