Reviews,Ratings
"Horrible noise coming while washing or spinning. Returned back.However, Samsung customer care was not convinced by my complaint of horrible noise and rejected my request to return the product. Thereafter, i raised my issue with Amazon and they have understood my grievance and sent their own technician. The technician have checked the machine thoroughly and come to conclusion that it was some manufacturing defect due to which annoying noise was coming. And next day amazon arranged for pickup of the product and after 2- 3 hours of pickup money was transferred to my bank account. I am very much impressed by such a world class customer grievance redressal system.Thanks alot Amazon Team. Happy to have such great services.",1
"It's made my life easier.Writing this review after 1 month of use.1. Can wash everything from socks to curtains and sofa covers,rugs, bedsheets and everything comes out clean and dry.2. Just put the clothes, fill liquid detergent and I complete all my housework while clothes are getting washed automatically.3. There is soaking option also so in 75 minutes cycle all my clothes are soaked, washed, rinsed and dried. Makes life comfortable.4. Even if electricity goes it doesn't matter as it starts from the same point when it was stopped.5. Sometimes it happens I started the machineand come to my room and found a pair of socks that I  forget to put..no problem..I just switch off the machine, open the lid and and put the socks inside and switch on the main switch again. No reprogramming required.6. Only 1 thing sometimes the lint of other clothes gets deposited on woollens or jackets. So it's better to wash woollen clothes separately from daily wear. But it can be dusted off easily with a cloth brush after drying.7. And most important the machine self cleans itself.8. I purchased a long drain pipe separately as the drain pipe was too small. Now drain water is spilled out directly near the drain hole and my bathroom remains dry and clean.9. Saves time, your hands and feet are soft as you don't need to put them in soap and water everyday for washing clothes. In one month my feet have become soft and pink.",5
"I would like to share my experience one by one.DELIVERY EXPERIENCE - Too Fast ( Max 2 Days for Mumbai location )INSTALLATION - Within 6 Hrs after delivery ( In 6 Hrs during Covid Time)DELIVERY FACILITY - Shipped in 3rd Floor without having lift ( No extra pay) At your doorPACKEGING - Good Packeging with extra tharmocol from all side for safety. So its avoide unnecessary denting. Keep your machine safe during shipment. ( especially in Amazon )BUILD QUALITY - Superior Quality with having nice color Specially Drum & upper glass giving premium look.AUTOMATIC FUNCTION -Wash the cloth within 40 Minutes.Automatic Water SupplyNo error in System Program or function.Ideal for 4 to 5 person family.AVAILABLE MODE ( see pictures for detail)Normal ModeQuick washDelicatesSoak+NormalEnergy savingEco tube cleanAlso Mansoon function availableDaimand cylindrical drum help to keep clean your cloth and easy to dry.Now comes to the questions1) Does it hook up to kitchen sink?YES it does2) Is it easy to read and work the control panel?YES it is.3) Could you use it at your bathroom sink as well?YES you can.4) Does it leak?NO it does not leak - simply ensure your hoses are securely connected.5) Is it loud?NO it is not loud at all and will NOT disturb your neighbors.6) Does is spin well?YES it spins exceptionally well, so well you could simply hang your clothes on hangers to dryovernight if you do not have a dryer!7) How does the washer drain and is there a drain hose included? YES there is a drain hose included. This is a long white plastic hose connected to the bottom left when facing the washer - this hose runs up and over and into the sink, it is more than long enough for a kitchen counter8) How long does it take to do a full load of laundry?Start to finish is 44 minutes for a full large load and approx.14 to 25 minutes for the quick smaller loads.9) What electrical outlet do I need?standard home three-pronged is ok as its available in everyone home. ( No need to setup extra yhings)10) Can I wash sheets and blankets?Definitely.11) Can I use liquid detergent?YES you can.12) Can I use powdered detergent?YES you can.13) Can I use fabric softener?Yes you can.OVERALL EXPERIENCE -I Bought especially due to best seller product. Having perfect to my 4 member family. Weight is lightwright. Looking premium as compare to any others.Ad per my opinion The brand trust is most important in such high range valuble things because whenever you required service it should be NEAR TO YOUR LOCATION as well as the parts availability and the service should be really important factor.As per my view SAMSUNG have the capability to make trust from a long years with there service as compare to others as well as personally I really love there services as they treat with there customers.",5
"The media could not be loaded.
                



 Washing machine got delivered on 4th dec'20 and using it for the first time on 9th dec'20 and it produce enormous noise like a machine gun during washing but it's normal during spin. It's clearly shows I have received defective product. I am really disappointed with technician who came for demo because he didn't checked washing and spin condition during his visit. But now when I called him he asks to raise a complaint on the product. I know this is a good model and brand and I have received defective one and I demand 100% replacement. Check the video as a customer I'm very disappointed and not happy with the product. Delivery was really perfect and neat even during rainy days but got the defective product which need to be replaced immediately. Need Amazon to prioritise and replace this product at the earliest.",5
"The media could not be loaded.
                



 Defective product recieved..the technician came and checked and told that the inner drum was broken...so rapid vibrations were there...both samsung and amazon denied to return the product at first...I must say worst ever customer service by Samsung...the technician came to install the product and declared it as a defective/damaged product amd left without providing any jobsheet or service denial reason or number. I repeatedly called samsung but they denied to provide jobsheet and service denial request number as proof...and amazon kept on denying the return due to lack of jobsheet. So finally after so much of explanation and hassle, amazon decided to return and provide refund. But, this time they refunded a lesser amount. During kick-off of festival season sale for prime members, we were supposed to get 1750 rs instant bank discount, 1250 rs amazon pay cashback and 750 rs cashback by Cloudtail for this peoduct. I can understand during returning this product, they can deduct the bank diacount and cashback by seller but they shouldn't deduct the cashback of 1250 rs also....because I got the 1250 rs cashback as a result of ordering 3 items ar a time with total cart value of 30000. I should have been provided a cashback of proportionate to 13490 (actual price of this washing machine). Being a prime member and a regular customer, I feel disappointed with the service by amazon",2
"Overall product is average not recommended.. better to check and purchase from local shop.I am using Samsung 6.2 kg Diamond Drum model from last 10 year without any issue hence ordered same. Compare to that this machine is low in quality, Drum size almost half size seems 5kg model, panel button poor quality .. no difference in water level from 1 to 4, it fills water up to full. Warranty card and manual are photo copy.. I doubt about the genuinity.. I think it is duplicate production.",1
Worst service provided by Samsung... No one caring for installation... No warranty accepted. Don't go for Samsung.. as we have many other super quality brands.... I have been waiting for installation from past 45 days... No calls. No follow ups... This pandemic is not the reason behind delay... It's all about worst management... And follow ups...,1
"* No installation charges* machine takes 25-35 mins for one wash depending type selected.* bought it for Rs 11500/- after cashback and discounts, so considering the price feel like gr8 deal* Overall very happy with the purchase* Can clean 8-10 garments(typically 700g jeans/300g shirt) in one wash easily so ideal for 3-4 ppl.Some cons : * Machine takes a little more amount of water and detergent  than semi automatic . * Require cleaning of tub after 8-10 washes* Although the packaging box for the machine is not protected by any foam/thermocol sheet on the sides,Machine was in good condition ..delivered without any dents.(would suggest u have a look before u accept delivery)",1
"In the products details, Amazon has clearly written that the products carries 2 years comprehensive warranty while the motor carries 10 years warranty. The same was confirmed by their customer care in a call. However after purchase, when we contacted samsung , they made it clear that they offer only 2 years warranty on motor, and in case of any otherwise claim, only seller is responsible. So beware of this contradiction before purchase.",4
The first machine was damaged had to return it. Amazon took its own time to replace it with another one and the installation turnaround time was very bad. The second machine also started giving trouble within 10 days and I am now following up with Samsung to repair the machine or replace it again. Bad experience on my first time washing machine purchase from Amazon.,3
